id,price
1105000787.0,240000
399000195.0,200000
522059327.0,157500
1061400180.0,240000
1099600010.0,210000
7227500830.0,151000
8155000040.0,230000
7468900245.0,188200
3352401037.0,224000
818500490.0,153503
3313600340.0,183000
349400100.0,237500
7812800215.0,235000
2570600140.0,196000
6300000364.0,235000
1665400045.0,186375
3275300440.0,230000
7523700210.0,205000
4027701275.0,230000
7686203180.0,172500
1842900030.0,234000
6896300380.0,228000
8960000030.0,215000
6300000226.0,240000
7137910360.0,200000
4223000280.0,221000
7883600700.0,157500
9407000920.0,234000
3831000010.0,235000
522059158.0,230000
2599001010.0,196000
3356402702.0,215000
7338000950.0,187000
6929602605.0,205000
5111400086.0,110000
8731901940.0,218000
2112700370.0,199400
1423049019.0,90000
3518000180.0,179950
4239410220.0,210000
3353401710.0,227950
7227500740.0,217000
9320901250.0,133400
7941500170.0,219000
7203601405.0,217000
1355000220.0,243000
5053300015.0,212000
3830210220.0,210000
2895200150.0,230000
1555200180.0,225000
1423400160.0,230000
316000145.0,235000
2320069248.0,165050
7686203385.0,204000
7875400050.0,212000
7806210250.0,235000
4006000281.0,227000
7895500070.0,240000
6083000050.0,235000
8091411120.0,220000
7129304200.0,200000
3163600130.0,234900
8732190380.0,231000
1450100020.0,208000
2946003580.0,203000
4060000440.0,241000
2621600015.0,120000
8018600880.0,110000
1523049207.0,220000
1442800150.0,199950
5462100240.0,196500
3224800075.0,234000
3977630130.0,146300
1423700680.0,190000
4345000170.0,210000
7942300070.0,229900
4440400155.0,190000
2122700120.0,235000
8643000225.0,225000
7657000540.0,165000
7657600195.0,199950
2190601049.0,212000
6661200320.0,163500
8651400580.0,195000
9133600135.0,160000
2970800130.0,215000
185000118.0,212000
8645500360.0,197000
5016003230.0,169317
5151600040.0,200126
2787320620.0,222000
1443500905.0,219950
1823049202.0,175000
3004800175.0,165000
425400115.0,237000
646910150.0,183750
1682000350.0,148226
1207200010.0,245000
2926049376.0,220000
3122069029.0,120000
8944300110.0,218250
3980300371.0,142000
1320069163.0,243000
2734100732.0,216650
3313600077.0,185000
723049158.0,135000
2658000215.0,207000
100600550.0,226500
5379805475.0,234999
3750606890.0,220000
5437810360.0,224500
1022049182.0,175000
8731800210.0,235000
2013801086.0,245000
8651440740.0,219000
8732160240.0,223000
3340401555.0,235000
2329600040.0,158000
5198600005.0,195000
806000020.0,203000
3750600566.0,199950
9406500540.0,243000
2422049104.0,85000
7883603425.0,155000
2545900050.0,234950
3670500605.0,200000
8078490090.0,245000
8658300455.0,225000
3361401025.0,207000
7135300275.0,185000
3329530480.0,241000
3327000140.0,235000
8651400730.0,191000
4131500140.0,175000
8651401960.0,179950
5469300270.0,234000
6386600170.0,217000
7466900320.0,242000
1545803890.0,240000
7272000260.0,210500
2172000750.0,160000
2722049092.0,240000
7967200290.0,190000
2414600400.0,210000
4239400960.0,143000
2129700142.0,201000
8898700820.0,170500
1003600080.0,245000
6143600555.0,229950
1685200190.0,203000
3826500730.0,220000
3751600030.0,100000
8945200860.0,180000
423000035.0,225000
8651430560.0,180000
3423049165.0,240000
4388000140.0,194000
5530000030.0,233000
2325069054.0,225000
2019200220.0,160000
7689600215.0,202500
8945000910.0,184000
4059400190.0,225000
179001046.0,229000
3298700426.0,226550
1446403835.0,189000
3520069033.0,230000
1320069249.0,192500
3751602249.0,205000
6052400575.0,175000
5379805120.0,213000
3336500140.0,208800
7878400043.0,185000
114700150.0,236000
7905400040.0,206000
8151600470.0,121800
1721059069.0,235000
6303401365.0,210000
1565100010.0,225000
1796350690.0,245000
13001991.0,207000
8651441620.0,210000
717000225.0,235000
5702380780.0,240000
1352300990.0,126000
4031000520.0,227000
3812400657.0,160000
8732040180.0,245000
3353400120.0,174000
1423200110.0,180000
7883601155.0,240000
3523029059.0,181000
7116000425.0,150000
7116000225.0,190000
9407600250.0,211000
13002460.0,205000
9476200650.0,245000
2721059173.0,204555
16000435.0,218500
1446404015.0,200000
9382200121.0,187300
1421069123.0,214000
6874200960.0,170000
7227501645.0,230000
1446403145.0,170000
3915500045.0,180000
3211100450.0,217000
1311300100.0,221000
2341300115.0,235000
1604601155.0,180000
1446400648.0,203000
3972300169.0,195000
3123049131.0,244000
5379804730.0,156000
3623059027.0,200000
3353402390.0,171500
5083000375.0,235000
7224000450.0,230000
1622049140.0,239900
623049093.0,219900
7520000440.0,214000
8651441290.0,195000
985000950.0,217000
3021059175.0,235000
2420069017.0,152900
42000006.0,235000
3356404330.0,206000
6198400218.0,95000
2781250530.0,225000
7663700401.0,229000
2722059292.0,129000
5379806185.0,185850
7153400010.0,190500
1788800080.0,184900
3668000810.0,218500
8081650400.0,236000
7893203770.0,196000
8651442810.0,152000
2420069220.0,209000
9536601045.0,227500
5126400230.0,199000
1623049133.0,205000
3530530110.0,149900
2821049082.0,225000
3384300160.0,169950
1446400725.0,165000
2781270090.0,195000
2781250520.0,200000
1140000190.0,219950
5066400564.0,199129
7683800212.0,229000
2222059099.0,215000
9310300175.0,225000
7568700480.0,153000
8864000250.0,150550
7657000085.0,218000
